"PLAYER","BASE.SALARY","SIGN.BONUS","ALL.BONUSES","CAP.VALUE","SALARY","POSITION","TEAM","YEAR"
"Bledsoe, Drew",2900000,6500000,,5001530,9501530,"Quarterback","bills","2002"
"Williams, Mike (OL)",962500,7275000,,2175000,8237500,"Outside Linebacker","bills","2002"
"Fletcher, London",525000,4e+06,,1327160,4527160,"Linebacker","bills","2002"
"Brown, Ruben",3400000,,,4736000,3400000,"Outside Linebacker","bills","2002"
"Riemersma, Jay",2525000,,,3898980,2526980,"Tight End","bills","2002"
"Teague, Trey",525000,1500000,,912814,2037814,"Outside Linebacker","bills","2002"
"Williams, Pat",1950000,,,2986880,1952880,"Defensive Tackle","bills","2002"
"Reed, Josh",291000,1600000,,691000,1891000,"Wide Receiver","bills","2002"
"Van Pelt, Alex",650000,1e+06,,9e+05,1700000,"Quarterback","bills","2002"
"Moulds, Eric",1550000,,,3650000,1650000,"Wide Receiver","bills","2002"
"Prioleau, Pierson",550000,850000,,768124,1306271,"Safety","bills","2002"
"Moore, Dave",750000,5e+05,,918826,1252160,"Tight End","bills","2002"
"Denney, Ryan",225000,950000,,462500,1175000,"Defensive End","bills","2002"
"Centers, Larry",750000,250000,,1025630,1000630,"Running Back","bills","2002"
"Robinson, Eddie",750000,175000,,838940,926440,"Linebacker","bills","2002"
"Watson, Chris",450000,4e+05,,653240,853240,"Cornerback","bills","2002"
"Conaty, Billy",525000,325000,,851440,851440,"Outside Linebacker","bills","2002"
"Jenkins, Billy",525000,2e+05,,627250,727250,"Safety","bills","2002"
"Wire, Coy",225000,480000,,345000,705000,"Safety","bills","2002"
"Price, Marcus",525000,150000,,576440,676440,"Outside Linebacker","bills","2002"
"Hollis, Mike",650000,25000,26260,476260,676260,"Punter/Kicker","bills","2002"
"Ahanotu, Chidi",650000,25000,,475000,675000,"Defensive End","bills","2002"
"Johnson, Charles E.",650000,25000,,475000,675000,"Wide Receiver","bills","2002"
"Bryson, Shawn",563000,,,565430,565430,"Running Back","bills","2002"
"Newman, Keith",563000,,,565430,565430,"Linebacker","bills","2002"
"Rogers, Charlie",563000,,,564260,564260,"Running Back","bills","2002"
"Price, Peerless",450000,,,687160,487160,"Wide Receiver","bills","2002"
"Winfield, Antoine",450000,,,1154600,453600,"Cornerback","bills","2002"
"Schobel, Aaron",346875,,,730475,400475,"Defensive End","bills","2002"
"Clements, Nate",3e+05,,,1280870,390245,"Cornerback","bills","2002"
"Bannan, Justin",225000,160000,,265000,385000,"Defensive Tackle","bills","2002"
"Morris, Sammy",375000,,,411843,378510,"Running Back","bills","2002"
"Polk, Dashon",375000,,,385663,378330,"Linebacker","bills","2002"
"Brown, Travis",375000,,,377070,377070,"Quarterback","bills","2002"
"Driver, Tony",3e+05,,,326756,304590,"Safety","bills","2002"
"Crosby, Phillip",3e+05,,,305460,303960,"Running Back","bills","2002"
"Henry, Travis",3e+05,,,548960,303960,"Running Back","bills","2002"
"Office, Kendrick",3e+05,,,303960,303960,"Defensive End","bills","2002"
"Moorman, Brian",3e+05,,3870,303870,303870,"Punter/Kicker","bills","2002"
"Spoon, Brandon",3e+05,,,403446,303780,"Linebacker","bills","2002"
"Edwards, Ron",3e+05,,,466856,303690,"Defensive Tackle","bills","2002"
"Jennings, Jonas",3e+05,,,416100,303600,"Outside Linebacker","bills","2002"
"Sullivan, Marques",3e+05,,,342343,303510,"Outside Linebacker","bills","2002"
"Thomas, Kevin",225000,77500,,250833,302500,"Cornerback","bills","2002"
"Denman, Anthony",3e+05,,,3e+05,3e+05,"Linebacker","bills","2002"
"Houghton, Mike",225000,58250,,225000,283250,"Outside Linebacker","bills","2002"
"Bostic, Jason",3e+05,2000,,286005,269946,"Cornerback","bills","2002"
"Pucillo, Mike",225000,38500,,237833,263500,"Outside Linebacker","bills","2002"
"Rone, Andre",225000,20000,,238960,248960,"Wide Receiver","bills","2002"
"Irons, Grant",225000,5000,,230000,230000,"Defensive End","bills","2002"
"Burns, Joe",225000,3500,,226750,228500,"Running Back","bills","2002"
"Favors, Greg",525000,,,158824,185294,"Linebacker","bills","2002"
"Jones, Marcus",525000,,,185294,185294,"Defensive End","bills","2002"
"Stevenson, Dominique",225000,,,172059,172059,"Linebacker","bills","2002"
"Brooks, Ahmad",225000,,,145588,145588,"Cornerback","bills","2002"
"McDonnell, Brady",225000,,,79412,79412,"Tight End","bills","2002"
"Robertson, Tyrone",3e+05,,,82494,73828,"Defensive Tackle","bills","2002"
"Floyd, Marcus",225000,,,26471,26471,"Cornerback","bills","2002"
"Larsen, Leif",375000,,,180240,3240,"Defensive Tackle","bills","2002"
"Spikes, Takeo",1e+06,9e+06,,2503200,10003200,"Linebacker","bills","2003"
"Milloy, Lawyer",2e+06,5e+06,,3250000,7e+06,"Safety","bills","2003"
"Bledsoe, Drew",3400000,2e+06,,5502800,5502800,"Quarterback","bills","2003"
"Brown, Ruben",3060000,,,5840400,4504400,"Outside Linebacker","bills","2003"
"Williams, Mike (OL)",558125,3225000,,3265230,4336325,"Outside Linebacker","bills","2003"
"Moulds, Eric",3100000,,,6325000,4325000,"Wide Receiver","bills","2003"
"Adams, Sam",750000,1500000,,1377300,2502300,"Defensive Tackle","bills","2003"
"Posey, Jeff",575000,1750000,,1016100,2328600,"Linebacker","bills","2003"
"Williams, Pat",2200000,,,3237200,2203200,"Defensive Tackle","bills","2003"
"McGahee, Willis",411000,1e+06,,1011000,1811000,"Running Back","bills","2003"
"Teague, Trey",750000,,,2127800,1752800,"Outside Linebacker","bills","2003"
"Campbell, Mark",650000,950000,,947500,1660000,"Tight End","bills","2003"
"Fletcher, London",1500000,,,2400000,1600000,"Linebacker","bills","2003"
"Kelsay, Chris",225000,1375000,,568750,1600000,"Defensive End","bills","2003"
"Lindell, Rian",450000,9e+05,950000,787500,1400000,"Punter/Kicker","bills","2003"
"Moore, Dave",1e+06,,,1219866,1053200,"Tight End","bills","2003"
"Shaw, Bobby",535000,5e+05,,704866,1038200,"Wide Receiver","bills","2003"
"Moorman, Brian",6e+05,325000,426600,748028,1026600,"Punter/Kicker","bills","2003"
"Prioleau, Pierson",750000,,,1166100,953600,"Safety","bills","2003"
"Van Pelt, Alex",750000,,,1e+06,8e+05,"Quarterback","bills","2003"
"Gash, Sam",755000,25000,,478200,783200,"Running Back","bills","2003"
"Reese, Izell",530000,175000,,621200,708700,"Safety","bills","2003"
"Henry, Travis",389000,3e+05,,738400,693400,"Running Back","bills","2003"
"McKenzie, Keith",655000,25000,,479000,684000,"Defensive End","bills","2003"
"Crowell, Angelo",225000,415000,,363333,640000,"Linebacker","bills","2003"
"Polk, Dashon",605000,,,609400,609400,"Linebacker","bills","2003"
"Morris, Sammy",605000,,,608200,608200,"Running Back","bills","2003"
"Sidney, Dainon",530000,25000,,478200,558200,"Cornerback","bills","2003"
"Price, Marcus",550000,,,602700,552700,"Outside Linebacker","bills","2003"
"Winfield, Antoine",530000,,,1235500,534500,"Cornerback","bills","2003"
"McGee, Terrence",225000,307500,,327500,532500,"Cornerback","bills","2003"
"Clements, Nate",389000,,,1404000,513375,"Cornerback","bills","2003"
"Aiken, Sam",225000,274000,,288392,499000,"Wide Receiver","bills","2003"
"Schobel, Aaron",416250,,,819750,489750,"Defensive End","bills","2003"
"Brown, Travis",450000,,,105882,450000,"Quarterback","bills","2003"
"Sullivan, Marques",389000,,,432233,393400,"Outside Linebacker","bills","2003"
"Edwards, Ron",389000,,,556366,393200,"Defensive Tackle","bills","2003"
"Jennings, Jonas",389000,,,505500,393000,"Outside Linebacker","bills","2003"
"Neufeld, Ryan",375000,,,379800,379800,"Tight End","bills","2003"
"Robertson, Bernard",375000,,,44118,375000,"Outside Linebacker","bills","2003"
"Tucker, Ross",375000,,,375000,375000,"Outside Linebacker","bills","2003"
"Reed, Josh",363750,,,768150,368150,"Wide Receiver","bills","2003"
"Sobieski, Ben",225000,115482,,263494,340482,"Outside Linebacker","bills","2003"
"Wire, Coy",3e+05,,,424700,304700,"Safety","bills","2003"
"Bannan, Justin",3e+05,,,344400,304400,"Defensive Tackle","bills","2003"
"Burns, Joe",3e+05,,,306150,304400,"Running Back","bills","2003"
"Pucillo, Mike",3e+05,,,317233,304400,"Outside Linebacker","bills","2003"
"Thomas, Kevin",3e+05,,,330233,304400,"Cornerback","bills","2003"
"Stevenson, Dominique",3e+05,,,304300,304300,"Linebacker","bills","2003"
"Denney, Ryan",3e+05,,,541100,303600,"Defensive End","bills","2003"
"Sape, Lauvale",225000,68500,,247833,293500,"Defensive Tackle","bills","2003"
"Brown, Antonio",225000,3500,,231150,232900,"Wide Receiver","bills","2003"
"Coleman, Clarence",225000,,,229800,229800,"Wide Receiver","bills","2003"
"Stamer, Josh",225000,,,229800,229800,"Linebacker","bills","2003"
"Byrd, Gary",225000,4000,,131333,229000,"Outside Linebacker","bills","2003"
"Dorenbos, Jon",225000,3000,,226500,228000,"Outside Linebacker","bills","2003"
"Haggan, Mario",225000,,,92647,225000,"Linebacker","bills","2003"
"Simonton, Ken",225000,,,66176,225000,"Running Back","bills","2003"
"Bledsoe, Drew",2250000,6500000,,4419466,8752800,"Quarterback","bills","2004"
"Schobel, Aaron",5e+05,7e+06,,1998866,7502200,"Defensive End","bills","2004"
"Vincent, Troy",2150000,3600000,,2775000,5775000,"Safety","bills","2004"
"Moulds, Eric",4245000,,,7345000,5345000,"Wide Receiver","bills","2004"
"Spikes, Takeo",2500000,1500000,,4400000,4100000,"Linebacker","bills","2004"
"Villarrial, Chris",1150250,2875000,,1873300,4029550,"Outside Linebacker","bills","2004"
"Teague, Trey",1500000,2e+06,,2877400,3502400,"Outside Linebacker","bills","2004"
"Evans, Lee",230000,2250000,,1300000,3175000,"Wide Receiver","bills","2004"
"McGahee, Willis",326250,2750000,,1363866,3078450,"Running Back","bills","2004"
"Adams, Sam",2e+06,,,3377000,3002000,"Defensive Tackle","bills","2004"
"Milloy, Lawyer",1e+06,,,4002300,2752300,"Safety","bills","2004"
"Williams, Pat",2600000,,,3636900,2602900,"Defensive Tackle","bills","2004"
"Fletcher, London",2500000,,,3400000,2600000,"Linebacker","bills","2004"
"Edwards, Ron",628000,1250000,,1256600,1881600,"Defensive Tackle","bills","2004"
"Williams, Mike (OL)",486250,1250000,,3301414,1737650,"Outside Linebacker","bills","2004"
"Prioleau, Pierson",1e+06,,,1412500,1200000,"Safety","bills","2004"
"Losman, J.P.",230000,,,1078000,1078000,"Quarterback","bills","2004"
"Posey, Jeff",1050000,,,1490200,1052700,"Linebacker","bills","2004"
"Campbell, Mark",750000,,,1287500,1050000,"Tight End","bills","2004"
"Anderson, Tim",230000,532000,,407333,762000,"Defensive Tackle","bills","2004"
