TotalCap,team_name,year,QB Cost,CB Cost,DE Cost,DT Cost,LB Cost,OLB Cost,P/K Cost,RB Cost,TE Cost,WR Cost,C Cost,MLB Cost,OG Cost,OT Cost,LS Cost,S Cost,Wins,Losses,Ties,Playoffs,Points For,Points Against,Off Rank Pts,Off Rank Yds,Def Rank Pts,Def Rank Yds,TO Dif Rank,Pt Dif Rank,Yd Dif Rank
117370174,49ers,2009,2947575,13103190,12773738,9538584,15953089,24751660,4158726,9315965,6031155,10912074,0,0,0,0,0,7884418,8,8,0,,330,281,18,27,4,15,5,13,24
120703542,bears,2009,11926865,10781695,15457414,11196551,21924652,22360719,4295270,4907278,4104854,10323648,0,0,0,0,0,3424596,7,9,0,,327,375,19,23,21,17,23,21,23
97821726,bengals,2009,16540460,4397200,12305198,5891647,9219489,14662580,2843540,5581106,4367785,17730434,0,0,0,0,0,4282287,10,6,0,Lost WC,305,291,22,24,6,4,18,16,16
103849777,bills,2009,3038540,13671301,22541691,10227486,5933121,9528529,3167152,5052983,1254656,21948088,0,0,0,0,0,7486230,6,10,0,,258,326,28,30,16,19,11,23,26
90342264,broncos,2009,4152392,18238265,4270396,5825726,13792880,15377503,465720,4928130,7976410,9953032,0,0,0,0,0,5361810,8,8,0,,326,324,20,15,12,7,7,18,13
99274052,browns,2009,11208913,2176541,16629241,9286129,7974128,24391082,3346240,8186862,5759779,3806740,0,0,0,0,0,6508397,5,11,0,,245,375,29,32,21,31,29,27,32
94709389,buccaneers,2009,3808334,8286472,5118134,7020280,8485550,16198128,2026760,12229560,8543613,16887812,0,0,0,0,0,6104746,3,13,0,,244,400,30,28,27,27,22,29,27
110854186,cardinals,2009,15134880,11775673,3087942,7553130,21747190,12309173,1824550,3600686,2878200,18308189,0,0,0,0,0,12634573,10,6,0,Lost Div,375,325,11,14,14,20,24,12,17
112735506,chargers,2009,15100223,9739584,11185130,9496980,17947386,13586324,3213260,17354661,7970760,5572275,0,0,0,0,0,1568923,13,3,0,Lost Div,454,320,4,10,11,16,6,5,12
78934301,chiefs,2009,16376678,3774853,5285270,7651926,11672625,13212016,1703616,2350293,1911591,10153867,0,0,0,0,0,4841566,4,12,0,,294,424,23,25,29,30,16,27,28
116605574,colts,2009,22844039,12049098,23996560,2322911,6412676,15235537,3621761,3941049,8125701,10508808,0,0,0,0,0,7547434,14,2,0,Lost SB,416,307,7,9,8,18,13,9,14
96152244,cowboys,2009,7031479,6101754,10248810,3012612,11974010,23273501,2584178,5065922,5775328,11778750,0,0,0,0,0,9305900,11,5,0,Lost Div,361,250,14,2,2,9,13,8,2
108534844,dolphins,2009,7462739,10437490,6956070,5614980,21442573,25463741,874748,12603236,2202480,5978881,0,0,0,0,0,9497906,7,9,0,,360,390,15,17,25,22,26,20,20
135065279,eagles,2009,27046801,20566713,11611620,5398530,11713256,31842985,2084560,9617183,863795,9107436,0,0,0,0,0,5212400,11,5,0,Lost WC,429,337,5,11,19,12,2,10,11
99272760,falcons,2009,13358310,5441532,13688221,8939775,6814022,9959640,4822560,8658301,6278506,17956662,0,0,0,0,0,3355231,9,7,0,,363,325,13,16,14,21,11,15,19
120848077,giants,2009,15266668,11488970,20262360,8764547,14920854,27391312,3567500,8113775,1363810,5251479,0,0,0,0,0,4456802,8,8,0,,402,427,8,8,30,13,24,19,10
99370462,jaguars,2009,12756760,7935529,12429273,12201234,6773366,18933270,2668740,10949612,1775125,8637984,0,0,0,0,0,4309569,7,9,0,,290,380,24,18,24,23,13,25,22
117770315,jets,2009,4303804,14206661,14420644,8504553,21699573,26390520,2040000,4593990,3545918,9653048,0,0,0,0,0,8411604,9,7,0,Lost Conf,348,236,17,20,1,1,16,7,5
